======== 12:40-13:00 window excerpts (backend.log.1 + backend.log) ========
-- backend.log.1 --
2026-07-19 12:40:03 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2638.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:40:08 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2643.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:40:13 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2651.121354, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:40:14 [WARNING] lsc.analyzer.round_detector: OCR 回合状态分割无有效回合 (duration=2609s, markers=6)，回退到纯音频检测
2026-07-19 12:40:18 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2653.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:40:23 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2659.454688, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:40:28 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2663.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:40:33 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2668.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:40:38 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2676.121354, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
2026-07-19 12:40:43 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2678.6089999999995, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'u
2026-07-19 12:40:48 [INFO] lsc.server: Sending WS response: type=get_continuous_analysis_status_response, data={'running': True, 'room_id': 'c6600f2efd36458780aa5678ca5c4a4f', 'target_room_ids': ['c6600f2efd36458780aa5678ca5c4a4f'], 'mode': 'valorant_round', 'analyzed_duration': 2551.121354, 'recorded_duration': 2684.454688, 'confirmed_rounds': 24, 'pending_rounds': 2, 'analysis_stage': '扫描中', 'total_highlights': 26, 'phase': 'running', 'updated_
